symbol,date,open,high,low,close,adj_close,volume,created_at
FPT.VN,2014-06-26,10035.32421875,10078.39453125,9992.2548828125,10013.7890625,6896.12939453125,1582491,2026-08-06 16:24:45.638407
FPT.VN,2014-06-27,9992.2548828125,10207.6044921875,9992.2548828125,10078.39453125,6940.62060546875,7024833,2026-08-06 16:24:45.638407
FPT.VN,2014-06-30,10035.32421875,10121.46484375,10035.32421875,10035.32421875,6910.9599609375,1857995,2026-08-06 16:24:45.638407
FPT.VN,2014-07-01,10035.32421875,10121.46484375,10035.32421875,10056.859375,6925.78955078125,2765029,2026-08-06 16:24:45.638407
FPT.VN,2014-07-02,10056.859375,10121.46484375,10056.859375,10121.46484375,6970.28173828125,2942322,2026-08-06 16:24:45.638407
FPT.VN,2014-07-03,10164.53515625,10422.955078125,10164.53515625,10379.884765625,7148.24365234375,6022234,2026-08-06 16:24:45.638407
FPT.VN,2014-07-04,10444.490234375,10681.375,10422.955078125,10659.8408203125,7341.0400390625,8311991,2026-08-06 16:24:45.638407
FPT.VN,2014-07-07,10745.98046875,11090.541015625,10745.98046875,10767.515625,7415.19140625,8210482,2026-08-06 16:24:45.638407
FPT.VN,2014-07-08,10745.98046875,10875.1904296875,10659.8408203125,10745.98046875,7400.36181640625,3105265,2026-08-06 16:24:45.638407
FPT.VN,2014-07-09,10767.515625,10767.515625,10659.8408203125,10702.91015625,7370.7021484375,3167258,2026-08-06 16:24:45.638407
FPT.VN,2014-07-10,10702.91015625,10702.91015625,10422.955078125,10509.095703125,7237.22607421875,5862308,2026-08-06 16:24:45.638407
FPT.VN,2014-07-11,10509.095703125,10509.095703125,10379.884765625,10487.560546875,7222.3955078125,3116689,2026-08-06 16:24:45.638407
FPT.VN,2014-07-14,10487.560546875,10681.375,10466.025390625,10638.3056640625,7326.2109375,4031524,2026-08-06 16:24:45.638407
FPT.VN,2014-07-15,10875.1904296875,10982.8662109375,10724.4453125,10767.515625,7415.19140625,3647870,2026-08-06 16:24:45.638407
FPT.VN,2014-07-16,10875.1904296875,10982.8662109375,10745.98046875,10745.98046875,7400.36181640625,5759360,2026-08-06 16:24:45.638407
FPT.VN,2014-07-17,10724.4453125,10745.98046875,10595.2353515625,10638.3056640625,7326.2109375,3882139,2026-08-06 16:24:45.638407
FPT.VN,2014-07-18,10595.2353515625,11305.8916015625,10595.2353515625,11305.8916015625,7785.951171875,18506172,2026-08-06 16:24:45.638407
FPT.VN,2014-07-21,11198.2158203125,10982.8662109375,10982.8662109375,10982.8662109375,7563.4951171875,7979277,2026-08-06 16:24:45.638407
FPT.VN,2014-07-22,10982.8662109375,11198.2158203125,11198.2158203125,11198.2158203125,7711.79931640625,5956434,2026-08-06 16:24:45.638407
FPT.VN,2014-07-23,11090.541015625,11090.541015625,11090.541015625,11090.541015625,7637.6484375,4879677,2026-08-06 16:24:45.638407
FPT.VN,2014-07-24,11090.541015625,11305.8916015625,11305.8916015625,11305.8916015625,7785.951171875,7040296,2026-08-06 16:24:45.638407
FPT.VN,2014-07-25,11305.8916015625,11090.541015625,11090.541015625,11090.541015625,7637.6484375,5840344,2026-08-06 16:24:45.638407
FPT.VN,2014-07-28,10982.8662109375,10767.515625,10767.515625,10767.515625,7415.19140625,7778813,2026-08-06 16:24:45.638407
FPT.VN,2014-07-29,10767.515625,10702.91015625,10702.91015625,10702.91015625,7370.7021484375,4358386,2026-08-06 16:24:45.638407
FPT.VN,2014-07-30,10702.91015625,10745.98046875,10745.98046875,10745.98046875,7400.36181640625,3208493,2026-08-06 16:24:45.638407
FPT.VN,2014-07-31,10745.98046875,10875.1904296875,10875.1904296875,10875.1904296875,7489.345703125,3276011,2026-08-06 16:24:45.638407
FPT.VN,2014-08-01,10767.515625,10724.4453125,10724.4453125,10724.4453125,7385.5322265625,3371204,2026-08-06 16:24:45.638407
FPT.VN,2014-08-04,10745.98046875,10767.515625,10767.515625,10767.515625,7415.19140625,3517478,2026-08-06 16:24:45.638407
FPT.VN,2014-08-05,10982.8662109375,11090.541015625,11090.541015625,11090.541015625,7637.6484375,6654599,2026-08-06 16:24:45.638407
FPT.VN,2014-08-06,11090.541015625,10982.8662109375,10982.8662109375,10982.8662109375,7563.4951171875,4521423,2026-08-06 16:24:45.638407
FPT.VN,2014-08-07,10982.8662109375,10875.1904296875,10875.1904296875,10875.1904296875,7489.345703125,3010397,2026-08-06 16:24:45.638407
FPT.VN,2014-08-08,10982.8662109375,10875.1904296875,10875.1904296875,10875.1904296875,7489.345703125,3430085,2026-08-06 16:24:45.638407
FPT.VN,2014-08-11,10982.8662109375,10875.1904296875,10875.1904296875,10875.1904296875,7489.345703125,2975941,2026-08-06 16:24:45.638407
FPT.VN,2014-08-12,10875.1904296875,10875.1904296875,10875.1904296875,10875.1904296875,7489.345703125,2946826,2026-08-06 16:24:45.638407
FPT.VN,2014-08-13,10982.8662109375,11090.541015625,11090.541015625,11090.541015625,7637.6484375,3914273,2026-08-06 16:24:45.638407
FPT.VN,2014-08-14,11090.541015625,11198.2158203125,11198.2158203125,11198.2158203125,7711.79931640625,5958013,2026-08-06 16:24:45.638407
FPT.VN,2014-08-15,11090.541015625,11090.541015625,11090.541015625,11090.541015625,7637.6484375,3847637,2026-08-06 16:24:45.638407
FPT.VN,2014-08-18,11090.541015625,11305.8916015625,11305.8916015625,11305.8916015625,7785.951171875,8057986,2026-08-06 16:24:45.638407
FPT.VN,2014-08-19,11305.8916015625,11413.56640625,11413.56640625,11413.56640625,7860.1044921875,14521966,2026-08-06 16:24:45.638407
FPT.VN,2014-08-20,11305.8916015625,11198.2158203125,11198.2158203125,11198.2158203125,7711.79931640625,6137256,2026-08-06 16:24:45.638407
FPT.VN,2014-08-21,11198.2158203125,11090.541015625,11090.541015625,11090.541015625,7637.6484375,7630683,2026-08-06 16:24:45.638407
FPT.VN,2014-08-22,11198.2158203125,11198.2158203125,11198.2158203125,11198.2158203125,7711.79931640625,8379509,2026-08-06 16:24:45.638407
FPT.VN,2014-08-25,11305.8916015625,11305.8916015625,11305.8916015625,11305.8916015625,7785.951171875,8352855,2026-08-06 16:24:45.638407
FPT.VN,2014-08-26,11305.8916015625,11844.267578125,11844.267578125,11844.267578125,8156.7109375,17060249,2026-08-06 16:24:45.638407
FPT.VN,2014-08-27,11844.267578125,11844.267578125,11844.267578125,11844.267578125,8156.7109375,9085522,2026-08-06 16:24:45.638407
FPT.VN,2014-08-28,11844.267578125,12274.9677734375,12274.9677734375,12274.9677734375,8453.3193359375,11632441,2026-08-06 16:24:45.638407
FPT.VN,2014-08-29,12274.9677734375,12382.642578125,12382.642578125,12382.642578125,8527.4697265625,6956386,2026-08-06 16:24:45.638407
FPT.VN,2014-09-01,12382.642578125,12382.642578125,12382.642578125,12382.642578125,8527.4697265625,0,2026-08-06 16:24:45.638407
FPT.VN,2014-09-02,12382.642578125,12382.642578125,12382.642578125,12382.642578125,8527.4697265625,0,2026-08-06 16:24:45.638407
FPT.VN,2014-09-03,12490.318359375,12490.318359375,12274.9677734375,12274.9677734375,8453.3193359375,8149372,2026-08-06 16:24:45.638407
FPT.VN,2014-09-04,12167.29296875,12274.9677734375,12167.29296875,12274.9677734375,8453.3193359375,6461657,2026-08-06 16:24:45.638407
FPT.VN,2014-09-05,12274.9677734375,12490.318359375,12274.9677734375,12490.318359375,8601.6240234375,9407369,2026-08-06 16:24:45.638407
FPT.VN,2014-09-08,12597.9931640625,12597.9931640625,12597.9931640625,12597.9931640625,8675.775390625,10997987,2026-08-06 16:24:45.638407
FPT.VN,2014-09-09,12597.9931640625,12597.9931640625,11951.9423828125,11951.9423828125,8230.8642578125,18311884,2026-08-06 16:24:45.638407
FPT.VN,2014-09-10,11951.9423828125,12059.6171875,11951.9423828125,12059.6171875,8305.015625,7724112,2026-08-06 16:24:45.638407
FPT.VN,2014-09-11,12059.6171875,11951.9423828125,11951.9423828125,11951.9423828125,8230.8642578125,4543295,2026-08-06 16:24:45.638407
FPT.VN,2014-09-12,12059.6171875,12059.6171875,12059.6171875,12059.6171875,8305.015625,5918356,2026-08-06 16:24:45.638407
FPT.VN,2014-09-15,12274.9677734375,12059.6171875,12059.6171875,12059.6171875,8305.015625,7448514,2026-08-06 16:24:45.638407
FPT.VN,2014-09-16,12059.6171875,12059.6171875,12059.6171875,12059.6171875,8305.015625,7590051,2026-08-06 16:24:45.638407
FPT.VN,2014-09-17,12274.9677734375,12167.29296875,12167.29296875,12167.29296875,8379.1650390625,9702702,2026-08-06 16:24:45.638407
FPT.VN,2014-09-18,12167.29296875,11844.267578125,11844.267578125,11844.267578125,8156.7109375,7809925,2026-08-06 16:24:45.638407
FPT.VN,2014-09-19,11844.267578125,11844.267578125,11628.9169921875,11628.9169921875,8008.40869140625,6962005,2026-08-06 16:24:45.638407
FPT.VN,2014-09-22,11628.9169921875,11628.9169921875,11413.56640625,11413.56640625,7860.1044921875,6612992,2026-08-06 16:24:45.638407
FPT.VN,2014-09-23,11413.56640625,11413.56640625,11305.8916015625,11305.8916015625,7785.951171875,6132287,2026-08-06 16:24:45.638407
FPT.VN,2014-09-24,11305.8916015625,11305.8916015625,11305.8916015625,11305.8916015625,7785.951171875,4751653,2026-08-06 16:24:45.638407
FPT.VN,2014-09-25,11413.56640625,11521.2421875,11413.56640625,11521.2421875,7934.255859375,5162147,2026-08-06 16:24:45.638407
FPT.VN,2014-09-26,11521.2421875,11521.2421875,11305.8916015625,11305.8916015625,7785.951171875,3554905,2026-08-06 16:24:45.638407
FPT.VN,2014-09-29,11305.8916015625,11305.8916015625,11198.2158203125,11198.2158203125,7711.79931640625,3172969,2026-08-06 16:24:45.638407
FPT.VN,2014-09-30,11198.2158203125,11198.2158203125,11198.2158203125,11198.2158203125,7711.79931640625,4218939,2026-08-06 16:24:45.638407
FPT.VN,2014-10-01,11305.8916015625,11521.2421875,11305.8916015625,11521.2421875,7934.255859375,3583742,2026-08-06 16:24:45.638407
FPT.VN,2014-10-02,11521.2421875,11628.9169921875,11521.2421875,11628.9169921875,8008.40869140625,3334891,2026-08-06 16:24:45.638407
FPT.VN,2014-10-03,11521.2421875,11521.2421875,11521.2421875,11521.2421875,7934.255859375,3622748,2026-08-06 16:24:45.638407
FPT.VN,2014-10-06,11521.2421875,11521.2421875,11521.2421875,11521.2421875,7934.255859375,2655255,2026-08-06 16:24:45.638407
FPT.VN,2014-10-07,11521.2421875,11521.2421875,11521.2421875,11521.2421875,7934.255859375,3922724,2026-08-06 16:24:45.638407
FPT.VN,2014-10-08,11521.2421875,11521.2421875,11413.56640625,11413.56640625,7860.1044921875,2810861,2026-08-06 16:24:45.638407
FPT.VN,2014-10-09,11521.2421875,11521.2421875,11305.8916015625,11305.8916015625,7785.951171875,3722214,2026-08-06 16:24:45.638407
FPT.VN,2014-10-10,11305.8916015625,11305.8916015625,11198.2158203125,11198.2158203125,7711.79931640625,4629340,2026-08-06 16:24:45.638407
