symbol,date,open,high,low,close,volume,sma20,sma50,ema20,ema50,rsi14,macd,macd_signal,macd_hist,atr14,obv,bollinger_upper,bollinger_middle,bollinger_lower,target
FPT.VN,2012-12-19,5668.02,5805.84,5616.34,5736.93,876943,5676.6335,5938.8448,5709.597,5957.7583,48.5214,-77.4781,-102.6746,25.1964,96.7104,-34028244,5843.0084,5676.6335,5510.2586,0
FPT.VN,2012-12-20,5771.39,5771.39,5650.79,5650.79,413628,5667.158,5922.995,5703.9964,5945.7203,43.0769,-73.4525,-96.8302,23.3777,98.4168,-34441872,5814.8193,5667.158,5519.4967,0
FPT.VN,2012-12-21,5650.79,5685.25,5564.65,5616.34,1176861,5655.96,5907.4898,5695.6481,5932.8034,41.0911,-72.2096,-91.906,19.6965,100.0013,-35618733,5780.4926,5655.96,5531.4274,1
FPT.VN,2012-12-24,5633.56,5736.93,5633.56,5719.7,906023,5651.653,5894.741,5697.9388,5924.4464,48.7281,-62.1676,-85.9584,23.7907,101.4719,-34712710,5759.1533,5651.653,5544.1527,0
FPT.VN,2012-12-25,5719.7,5736.93,5685.25,5719.7,1097281,5649.93,5881.303,5700.0113,5916.4172,48.7281,-53.5916,-79.485,25.8934,97.9154,-34712710,5751.4509,5649.93,5548.4091,1
FPT.VN,2012-12-26,5702.48,5909.21,5685.25,5909.21,1594030,5661.128,5871.6552,5719.935,5916.1345,59.8079,-31.1441,-69.8168,38.6727,106.9186,-33118680,5814.9745,5661.128,5507.2815,1
FPT.VN,2012-12-27,5943.67,6167.63,5943.67,6115.95,2014043,5686.1085,5867.5204,5757.6507,5923.9704,67.9459,3.29,-55.1955,58.4854,117.7401,-31104637,5939.4246,5686.1085,5432.7924,0
FPT.VN,2012-12-28,6115.95,6115.95,6047.04,6064.26,885185,5707.6435,5862.6964,5786.8516,5929.472,64.4331,26.1073,-38.9349,65.0422,114.2522,-31989822,6010.5297,5707.6435,5404.7573,0
FPT.VN,2012-12-31,6064.26,6064.26,6064.26,6064.26,0,5730.901,5858.217,5813.2714,5934.7578,64.4331,43.6866,-22.4106,66.0972,106.0914,-31989822,6068.1789,5730.901,5393.6231,0
FPT.VN,2013-01-01,6064.26,6064.26,6064.26,6064.26,0,5751.5745,5853.7376,5837.1751,5939.8363,64.4331,56.9618,-6.5361,63.4979,98.5134,-31989822,6117.6361,5751.5745,5385.5129,1
FPT.VN,2013-01-02,6081.49,6305.46,6081.49,6271.0,2207565,5783.4465,5853.393,5878.4918,5952.8231,71.7333,83.2054,11.4122,71.7932,108.7053,-29782257,6211.9234,5783.4465,5354.9696,0
FPT.VN,2013-01-03,6271.0,6305.46,6081.49,6184.86,2130017,5812.734,5851.3256,5907.6697,5961.9226,65.6839,95.9469,28.3191,67.6278,116.9385,-31912274,6267.4316,5812.734,5358.0364,1
FPT.VN,2013-01-04,6150.4,6271.0,6133.18,6271.0,1613765,5848.0515,5851.3256,5942.2726,5974.0433,68.541,111.7078,44.9969,66.7109,118.43,-30298509,6330.4965,5848.0515,5365.6065,0
FPT.VN,2013-01-07,6236.54,6288.23,6202.09,6236.54,1187425,5878.2005,5850.981,5970.298,5984.3373,66.1676,120.034,60.0043,60.0297,116.1236,-31485934,6379.2132,5878.2005,5377.1878,1
FPT.VN,2013-01-08,6253.77,6546.65,6236.54,6546.65,3110397,5925.5775,5858.2168,6025.1887,6006.3888,74.6684,149.9276,77.989,71.9387,129.9798,-28375537,6490.5846,5925.5775,5360.5704,1
FPT.VN,2013-01-09,6873.98,6873.98,6632.79,6718.93,9220441,5977.2615,5869.2428,6091.2593,6034.3315,77.9788,185.3831,99.4678,85.9153,144.0762,-19155096,6631.7332,5977.2615,5322.7898,1
FPT.VN,2013-01-10,6667.25,6856.75,6650.02,6805.07,3523619,6031.53,5881.9916,6159.2413,6064.5566,79.4265,217.9206,123.1583,94.7622,148.5515,-15631477,6770.6063,6031.53,5292.4537,0
FPT.VN,2013-01-11,6805.07,6839.53,6684.47,6701.7,3568662,6082.3525,5898.5304,6210.904,6089.5426,73.2069,232.6834,145.0634,87.6201,149.0164,-19200139,6859.9561,6082.3525,5304.7489,0
FPT.VN,2013-01-14,6581.11,6632.79,6477.74,6494.97,2899926,6123.7,5911.6238,6237.9579,6105.4417,62.6422,225.1068,161.072,64.0348,154.3695,-22100065,6896.468,6123.7,5350.932,1
FPT.VN,2013-01-15,6494.97,6667.25,6494.97,6581.11,2077312,6173.6615,5927.8182,6270.6391,6124.0954,64.9143,223.4769,173.553,49.9239,155.6488,-20022753,6927.9184,6173.6615,5419.4046,1
FPT.VN,2013-01-16,6650.02,6753.39,6581.11,6650.02,2138260,6219.316,5943.668,6306.7706,6144.7199,66.6611,225.1504,183.8725,41.2779,156.8368,-17884493,6972.8044,6219.316,5465.8276,0
FPT.VN,2013-01-17,6632.79,6667.25,6563.88,6563.88,1696073,6264.9705,5957.795,6331.2572,6161.1575,62.4739,217.024,190.5028,26.5212,153.0177,-19580566,6983.2438,6264.9705,5546.6972,0
FPT.VN,2013-01-18,6512.19,6563.88,6494.97,6529.42,2106799,6310.6245,5971.2328,6350.1298,6175.5992,60.8278,205.4351,193.4893,11.9459,147.01,-21687365,6968.8725,6310.6245,5652.3765,0
FPT.VN,2013-01-21,6512.19,6546.65,6460.51,6494.97,690735,6349.388,5980.536,6363.9241,6188.1235,59.1499,191.2662,193.0446,-1.7785,142.6622,-22378100,6949.8911,6349.388,5748.8849,0
FPT.VN,2013-01-22,6494.97,6529.42,6253.77,6391.6,2166470,6382.983,5988.1164,6366.5599,6196.103,54.309,169.7395,188.3836,-18.6441,152.1613,-24544570,6905.2395,6382.983,5860.7265,0
FPT.VN,2013-01-23,6357.14,6426.05,6357.14,6391.6,1117539,6407.1025,5995.3522,6368.9447,6203.7696,54.309,150.9394,180.8948,-29.9553,146.2148,-24544570,6879.3981,6407.1025,5934.8069,1
FPT.VN,2013-01-24,6426.05,6563.88,6426.05,6546.65,822206,6428.6375,6006.7228,6385.869,6217.2158,60.0033,146.8586,174.0875,-27.2289,148.0766,-23722364,6884.0097,6428.6375,5973.2653,1
FPT.VN,2013-01-25,6615.56,6805.07,6615.56,6770.61,4571272,6463.955,6023.2616,6422.511,6238.9176,66.4981,159.8536,171.2408,-11.3872,155.9582,-19151092,6909.8028,6463.955,6018.1072,1
FPT.VN,2013-01-28,6805.07,7029.03,6805.07,6856.75,3242101,6503.5795,6043.246,6463.8671,6263.1463,68.6095,175.0847,172.0095,3.0751,163.2769,-15908991,6940.6357,6503.5795,6066.5233,0
FPT.VN,2013-01-29,6839.53,6891.21,6787.84,6805.07,1202285,6540.62,6062.1968,6496.3626,6284.3982,65.9251,180.9,173.7876,7.1123,158.9979,-17111276,6945.2747,6540.62,6135.9653,1
FPT.VN,2013-01-30,6891.21,7166.86,6891.21,7029.03,4002954,6578.5215,6085.9714,6547.0929,6313.5995,71.1863,201.2603,179.2822,21.9782,173.483,-13108322,7017.398,6578.5215,6139.645,0
FPT.VN,2013-01-31,6994.58,7011.81,6891.21,6908.44,2128334,6614.7005,6107.3342,6581.5069,6336.9265,65.3366,205.2989,184.4855,20.8134,170.9357,-15236656,7035.8789,6614.7005,6193.5221,0
